2026-05-07T14:49:36.876845+00:00 | INFO | node-001 | engine | engine started
2026-05-07T14:49:36.880965+00:00 | INFO | node-001 | bootstrap | bootstrap targets loaded | endpoint_count=2 endpoints=["tcp://node-001:19001","tcp://node-002:19001"]
2026-05-07T14:49:38.913693+00:00 | INFO | node-001 | physical_node_info_client | sent physical node info request | target_transport=tcp target_host=node-002 target_port=19001 requester_node_id=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c
2026-05-07T14:49:38.917523+00:00 | INFO | node-001 | bootstrap | bootstrap request sent target=node-002:19001 attempt=1
2026-05-07T14:49:38.958985+00:00 | INFO | node-001 | physical_node_info | persisted requester physical node from request | requester_node_id=2b00d99ebf5ca7e1f43daafb695dfdcc773b644f49c9afd1302c668de0b06dd853ca1a2756d00af06b25548f6a065bb36d6400a1e851bb2b6f86490f047e0829 endpoint_count=1
2026-05-07T14:49:38.961227+00:00 | INFO | node-001 | physical_node_info | received physical node info request | requester_node_id=2b00d99ebf5ca7e1f43daafb695dfdcc773b644f49c9afd1302c668de0b06dd853ca1a2756d00af06b25548f6a065bb36d6400a1e851bb2b6f86490f047e0829 remote_host=172.18.0.4 remote_port=49910
2026-05-07T14:49:38.997080+00:00 | INFO | node-001 | physical_node_info | persisted requester physical node from request | requester_node_id=f8c96a5db3af23722b39d0e6f3fcb0f1404baf7d88a1d62958668455568dd085026558bdeaf800990948104ef73fbec355dca57ecfc2213df4d9102493391801 endpoint_count=1
2026-05-07T14:49:39.000691+00:00 | INFO | node-001 | physical_node_info | received physical node info request | requester_node_id=f8c96a5db3af23722b39d0e6f3fcb0f1404baf7d88a1d62958668455568dd085026558bdeaf800990948104ef73fbec355dca57ecfc2213df4d9102493391801 remote_host=172.18.0.3 remote_port=34522
2026-05-07T14:49:39.041082+00:00 | INFO | node-001 | physical_node_info | persisted remote physical node info | remote_node_id=2b00d99ebf5ca7e1f43daafb695dfdcc773b644f49c9afd1302c668de0b06dd853ca1a2756d00af06b25548f6a065bb36d6400a1e851bb2b6f86490f047e0829 endpoint_count=1
2026-05-07T14:49:40.966761+00:00 | INFO | node-001 | physical_node_info | persisted requester physical node from request | requester_node_id=2b00d99ebf5ca7e1f43daafb695dfdcc773b644f49c9afd1302c668de0b06dd853ca1a2756d00af06b25548f6a065bb36d6400a1e851bb2b6f86490f047e0829 endpoint_count=1
2026-05-07T14:49:40.968894+00:00 | INFO | node-001 | physical_node_info | received physical node info request | requester_node_id=2b00d99ebf5ca7e1f43daafb695dfdcc773b644f49c9afd1302c668de0b06dd853ca1a2756d00af06b25548f6a065bb36d6400a1e851bb2b6f86490f047e0829 remote_host=172.18.0.4 remote_port=49920
2026-05-07T14:49:41.007455+00:00 | INFO | node-001 | physical_node_info | persisted requester physical node from request | requester_node_id=f8c96a5db3af23722b39d0e6f3fcb0f1404baf7d88a1d62958668455568dd085026558bdeaf800990948104ef73fbec355dca57ecfc2213df4d9102493391801 endpoint_count=1
2026-05-07T14:49:41.009959+00:00 | INFO | node-001 | physical_node_info | received physical node info request | requester_node_id=f8c96a5db3af23722b39d0e6f3fcb0f1404baf7d88a1d62958668455568dd085026558bdeaf800990948104ef73fbec355dca57ecfc2213df4d9102493391801 remote_host=172.18.0.3 remote_port=34534
2026-05-07T14:49:41.027551+00:00 | INFO | node-001 | physical_node_info_client | sent physical node info request | target_transport=tcp target_host=node-002 target_port=19001 requester_node_id=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c
2026-05-07T14:49:41.030020+00:00 | INFO | node-001 | bootstrap | bootstrap request sent target=node-002:19001 attempt=2
2026-05-07T14:49:41.106150+00:00 | INFO | node-001 | physical_node_info | persisted remote physical node info | remote_node_id=2b00d99ebf5ca7e1f43daafb695dfdcc773b644f49c9afd1302c668de0b06dd853ca1a2756d00af06b25548f6a065bb36d6400a1e851bb2b6f86490f047e0829 endpoint_count=1
2026-05-07T14:49:45.734518+00:00 | INFO | node-001 | physical_node_info | persisted requester physical node from request | requester_node_id=2b00d99ebf5ca7e1f43daafb695dfdcc773b644f49c9afd1302c668de0b06dd853ca1a2756d00af06b25548f6a065bb36d6400a1e851bb2b6f86490f047e0829 endpoint_count=1
2026-05-07T14:49:45.738278+00:00 | INFO | node-001 | physical_node_info | received physical node info request | requester_node_id=2b00d99ebf5ca7e1f43daafb695dfdcc773b644f49c9afd1302c668de0b06dd853ca1a2756d00af06b25548f6a065bb36d6400a1e851bb2b6f86490f047e0829 remote_host=172.18.0.4 remote_port=49926
2026-05-07T14:49:45.796893+00:00 | INFO | node-001 | physical_node_info | persisted requester physical node from request | requester_node_id=f8c96a5db3af23722b39d0e6f3fcb0f1404baf7d88a1d62958668455568dd085026558bdeaf800990948104ef73fbec355dca57ecfc2213df4d9102493391801 endpoint_count=1
2026-05-07T14:49:45.799409+00:00 | INFO | node-001 | physical_node_info | received physical node info request | requester_node_id=f8c96a5db3af23722b39d0e6f3fcb0f1404baf7d88a1d62958668455568dd085026558bdeaf800990948104ef73fbec355dca57ecfc2213df4d9102493391801 remote_host=172.18.0.3 remote_port=34548
2026-05-07T14:49:45.862686+00:00 | INFO | node-001 | physical_node_info_client | sent physical node info request | target_transport=tcp target_host=node-002 target_port=19001 requester_node_id=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c
2026-05-07T14:49:45.867422+00:00 | INFO | node-001 | bootstrap | bootstrap request sent target=node-002:19001 attempt=3
2026-05-07T14:49:45.882235+00:00 | INFO | node-001 | node_runtime | core started | listen_port=19001 physical_node_id=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c
2026-05-07T14:49:45.956313+00:00 | INFO | node-001 | physical_node_info | persisted remote physical node info | remote_node_id=2b00d99ebf5ca7e1f43daafb695dfdcc773b644f49c9afd1302c668de0b06dd853ca1a2756d00af06b25548f6a065bb36d6400a1e851bb2b6f86490f047e0829 endpoint_count=1
2026-05-07T14:49:45.988136+00:00 | INFO | node-001 | physical_session | accepted inbound physical session init | session_id=7353a698-0b52-40b2-afeb-b41c4d56e7d2 initiator_physical_node_id=f8c96a5db3af23722b39d0e6f3fcb0f1404baf7d88a1d62958668455568dd085026558bdeaf800990948104ef73fbec355dca57ecfc2213df4d9102493391801 remote_host=172.18.0.3 remote_port=34562
2026-05-07T14:49:46.017357+00:00 | INFO | node-001 | physical_session | processed key confirm and activated inbound session | session_id=7353a698-0b52-40b2-afeb-b41c4d56e7d2
2026-05-07T14:49:46.296668+00:00 | INFO | node-001 | dht | stored dht record locally from publish | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50 namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c
2026-05-07T14:49:46.873009+00:00 | INFO | node-001 | physical_node_info_exchange | responding with known physical nodes | requester_node_id=f8c96a5db3af23722b39d0e6f3fcb0f1404baf7d88a1d62958668455568dd085026558bdeaf800990948104ef73fbec355dca57ecfc2213df4d9102493391801 record_count=0 max_records=50
2026-05-07T14:49:46.909140+00:00 | DEBUG | node-001 | dht_maintenance_runtime | validating local dht fragment | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50 namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c fragment_id=1
2026-05-07T14:49:46.930117+00:00 | INFO | node-001 | dht_maintenance_runtime | validated and merged local dht fragment | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50 namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c
2026-05-07T14:49:46.961486+00:00 | DEBUG | node-001 | dht_maintenance_runtime | publishing validated dht record to responsible nodes | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50 namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c
2026-05-07T14:49:46.965603+00:00 | INFO | node-001 | physical_dht_client | starting dht publish | namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50
2026-05-07T14:49:46.986597+00:00 | INFO | node-001 | physical_dht_client | no initial session for publish, trying local responsibility path | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50
2026-05-07T14:49:47.017449+00:00 | INFO | node-001 | physical_dht_client | stored dht record locally via publish fallback | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50
2026-05-07T14:49:47.020758+00:00 | INFO | node-001 | dht_maintenance_runtime | finished dht record maintenance publish | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50 namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c status=stored
2026-05-07T14:49:47.040237+00:00 | DEBUG | node-001 | physical_ping | received ping and sending pong | nonce=7b8ec3a1-ab3d-4923-b0a4-18cd3f493c31 remote_host=172.18.0.3 remote_port=53566
2026-05-07T14:49:48.035255+00:00 | DEBUG | node-001 | dht_maintenance_runtime | validating local dht fragment | key=1092a98fed19b75dc605bba37e9a659e783d03619c5934732393ca03437c705570cfe2b83c3bdad04c6d63b1891113982e15a61c4e0e7cc5befba916e0962c50 namespace=dpnt logical_key=626d336a97b27091305f1452f935ed9be85c7c28a23db944c6da4b9822f316de02bcbd241560896876dd64191b4ca9f2e36e38203c1adccd4b6993d57062552c fragment_id=3
