anonnet-node-007  | 2026-05-25T16:29:57.024446+00:00 | DEBUG | node-007 | physical_node_validation_runtime | no physical node validation candidate available | validation_backoff_seconds=300 total_remote_nodes=11 discovered_nodes=0 active_nodes=11 validated_nodes=11 active_endpoint_nodes=11 route_ready_nodes=11 rtt_known_nodes=4 recent_endpoints=[{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"46a1e8c37704a172262be716960e29e36ed602f047f8d4021da15ca81cbc53d74b2408caf4f84e7b0ed2b15b0cbd56d597bbc74936936b83aeb6ff67b3493479","port":19004,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"0ba50f37fceec97b9293be3eef8aeef889cd9e1f7f72393a65d38e4b4089146c8cb3b24c437f01f6f1ff85ebceb5e1fd49f3ba0c1cc23d86b2a94f693ac37431","port":19005,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"fdc248eb43aad73f26ba5995548704dc629561b873301d997b0d1d1cea231cb6c8080e640ad6d476b41e8d40699d22e5fefc26e99fc9dee2ce758aa05171ddb3","port":19009,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"5d21db85357345f7708b3ed2ea733077629af5f5ab57fe6a00006d5952808bcf0415c3cf61a22bcdb5d1c3e54127fc8fe1a301c0f946141ccfa7f24d548f380e","port":19003,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"7099595fce841e88d3f04b1ed73747b36818f6a9dc4f323c03350bb8da5d4877414f9e1a7a734feba33b54309d0a80d170114a117c09e02f1134cf74387cd1df","port":19201,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"89c64ddbd5741f3b49f2202a8efb79e711ebf41eb20d1759c46cca38952f9511449ab7f283d90950dfee7104d95f747627a5844272415c2a182da372b8437be4","port":19006,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"28ba1d76602f311c9a5c93b01693794df483c68909316a6d6698f99d31e32112d8176b152324554837da8352df9b278d9ac0ebca5a9a196d460313de6293c74e","port":19008,"transport":"tcp"},{"failure_count":0,"host":"150.162.149.177","is_active":true,"node_id":"cc66e224836d2ae51813d66db0242f70161b785b124c59faba517a26fb9263a325d621f1b693ed278cd2ea599e85b1c896e27c797aea6efd91329edea32e21db","port":19202,"transport":"tcp"}]
anonnet-node-007  | 2026-05-25T16:29:58.247392+00:00 | DEBUG | node-007 | physical_session | refreshed physical session endpoint binding | session_id=d90852a8-a9dc-4d08-b08b-af839e42ee4b remote_physical_node_id=28ba1d76602f311c9a5c93b01693794df483c68909316a6d6698f99d31e32112d8176b152324554837da8352df9b278d9ac0ebca5a9a196d460313de6293c74e observed_remote_host=172.18.0.1 observed_remote_port=54640 bound_transport=tcp bound_host=150.162.149.177 bound_port=19008 endpoint_source=advertised
anonnet-node-007  | 2026-05-25T16:29:58.249403+00:00 | DEBUG | node-007 | physical_session | received keepalive and sent ack | session_id=d90852a8-a9dc-4d08-b08b-af839e42ee4b
anonnet-node-007  | 2026-05-25T16:29:58.876866+00:00 | INFO | node-007 | physical_node_info_exchange | responding with known physical nodes | requester_node_id=28ba1d76602f311c9a5c93b01693794df483c68909316a6d6698f99d31e32112d8176b152324554837da8352df9b278d9ac0ebca5a9a196d460313de6293c74e record_count=10 max_records=32 sample_records=[{"endpoint_count":1,"endpoints":[{"host":"150.162.149.177","port":19201,"priority":0,"transport":"tcp"}],"physical_node_id":"7099595fce841e88d3f04b1ed73747b36818f6a9dc4f323c03350bb8da5d4877414f9e1a7a734feba33b54309d0a80d170114a117c09e02f1134cf74387cd1df"},{"endpoint_count":1,"endpoints":[{"host":"150.162.149.177","port":19202,"priority":0,"transport":"tcp"}],"physical_node_id":"cc66e224836d2ae51813d66db0242f70161b785b124c59faba517a26fb9263a325d621f1b693ed278cd2ea599e85b1c896e27c797aea6efd91329edea32e21db"},{"endpoint_count":1,"endpoints":[{"host":"150.162.149.177","port":19001,"priority":0,"transport":"tcp"}],"physical_node_id":"91c36334b64e8bcef19baf75b31d60e0f5764b504b1ca88f92fd29a3dc98ebfaf5d57c40ed14fabdbbbb9c868e29f368818b2feb64c36e8dbfe90cbcf5b12a18"},{"endpoint_count":1,"endpoints":[{"host":"150.162.149.177","port":19005,"priority":0,"transport":"tcp"}],"physical_node_id":"0ba50f37fceec97b9293be3eef8aeef889cd9e1f7f72393a65d38e4b4089146c8cb3b24c437f01f6f1ff85ebceb5e1fd49f3ba0c1cc23d86b2a94f693ac37431"},{"endpoint_count":1,"endpoints":[{"host":"150.162.149.177","port":19006,"priority":0,"transport":"tcp"}],"physical_node_id":"89c64ddbd5741f3b49f2202a8efb79e711ebf41eb20d1759c46cca38952f9511449ab7f283d90950dfee7104d95f747627a5844272415c2a182da372b8437be4"}]
anonnet-node-007  | 2026-05-25T16:29:58.931420+00:00 | DEBUG | node-007 | physical_session | refreshed physical session endpoint binding | session_id=2f2b48f1-03b0-4a7d-804e-3e9ff735b909 remote_physical_node_id=46a1e8c37704a172262be716960e29e36ed602f047f8d4021da15ca81cbc53d74b2408caf4f84e7b0ed2b15b0cbd56d597bbc74936936b83aeb6ff67b3493479 observed_remote_host=172.18.0.1 observed_remote_port=54668 bound_transport=tcp bound_host=150.162.149.177 bound_port=19004 endpoint_source=advertised
anonnet-node-007  | 2026-05-25T16:29:58.933878+00:00 | DEBUG | node-007 | physical_session | received keepalive and sent ack | session_id=2f2b48f1-03b0-4a7d-804e-3e9ff735b909
anonnet-node-007  | 2026-05-25T16:29:59.029911+00:00 | DEBUG | node-007 | physical_session_client | sent physical session keepalive | session_id=7373608d-f2e3-4b7b-a03c-3a8e395b53e9
anonnet-node-007  | 2026-05-25T16:29:59.034984+00:00 | WARNING | node-007 | session_runtime | failed to send session keepalive | session_id=87e3cdc9-243d-449e-944b-806d8c784eb5 session_scope=physical remote_identity_id=7099595fce841e88d3f04b1ed73747b36818f6a9dc4f323c03350bb8da5d4877414f9e1a7a734feba33b54309d0a80d170114a117c09e02f1134cf74387cd1df transport=tcp remote_host=150.162.149.177 remote_port=19201 error_type=OSError error=OSError("Multiple exceptions: [Errno 111] Connect call failed ('192.168.65.254', 19201), [Errno 101] Network is unreachable")
anonnet-node-007  | 2026-05-25T16:29:59.046468+00:00 | DEBUG | node-007 | physical_session_client | sent physical session keepalive | session_id=4ac72fd3-e222-4e4c-bad6-c8bd4a6820eb
anonnet-node-007  | 2026-05-25T16:29:59.057971+00:00 | DEBUG | node-007 | physical_session | refreshed physical session endpoint binding | session_id=7373608d-f2e3-4b7b-a03c-3a8e395b53e9 remote_physical_node_id=89c64ddbd5741f3b49f2202a8efb79e711ebf41eb20d1759c46cca38952f9511449ab7f283d90950dfee7104d95f747627a5844272415c2a182da372b8437be4 observed_remote_host=192.168.65.254 observed_remote_port=19006 bound_transport=tcp bound_host=150.162.149.177 bound_port=19006 endpoint_source=advertised
anonnet-node-007  | 2026-05-25T16:29:59.065150+00:00 | DEBUG | node-007 | physical_session | received keepalive ack | session_id=7373608d-f2e3-4b7b-a03c-3a8e395b53e9
